Kode Akun,Nama Akun,Tipe Akun,Induk Akun
1000,Kas & Bank,Kas & Bank,
1100,Kas,Kas & Bank,1000
110001,Kas Kecil,Kas & Bank,1100
110002,Kas Besar,Kas & Bank,1100
110003,Kas Induk,Kas & Bank,1100
110004,Kas Transit,Kas & Bank,1100
1102,Bank,Kas & Bank,1000
110202,BRI Surya Kencana,Kas & Bank,1102
110203,BCA An. Riyan,Kas & Bank,1102
110204,BCA Surya Kencana,Kas & Bank,1102
110205,BCA Podomoro,Kas & Bank,1102
110206,BCA An. Pepbri Sugraha,Kas & Bank,1102
110207,Bank Jatim,Kas & Bank,1102
110208,Bank Mandiri An. Nala,Kas & Bank,1102
110209,Bank BTN An. Samsiyah,Kas & Bank,1102
110210,Bank Induk,Kas & Bank,1102
1103,Setara Kas,Kas & Bank,1000
110301,Deposito Bank,Kas & Bank,1103
1104,Piutang Usaha,Piutang Usaha,
110401,Piutang Usaha IDR,Piutang Usaha,1104
110402,Uang Muka Pembelian IDR,Piutang Usaha,1104
1105,Persediaan,Persediaan,
110501,Persediaan,Persediaan,1105
110502,Persediaan Terkirim,Persediaan,1105
110503,Persediaan Dalam Proses,Persediaan,1105
1106,R/K. Afiliasi,Aset Lancar Lainnya,
110602,R/K. Afiliasi - Cahaya Foodies,Aset Lancar Lainnya,1106
110601,Piutang Karyawan,Aset Lancar Lainnya,1106
11060101,Piutang Karyawan - Filet,Aset Lancar Lainnya,110601
1107,Piutang Pemegang Saham,Aset Lancar Lainnya,
110701,Piutang Pemegang Saham,Aset Lancar Lainnya,1107
11070101,Piutang / (Hutang) Direksi,Aset Lancar Lainnya,110701
1108,Beban Dibayar Dimuka,Aset Lancar Lainnya,
110801,Sewa Gedung Dibayar Dimuka,Aset Lancar Lainnya,1108
110802,Asuransi Dibayar Dimuka,Aset Lancar Lainnya,1108
1109,Uang Muka Pajak,Aset Lancar Lainnya,
110901,PPN Masukan,Aset Lancar Lainnya,1109
110902,PPh 23 Penjualan,Aset Lancar Lainnya,1109
110903,PPh Pasal 4 (2) Penjualan,Aset Lancar Lainnya,1109
110904,PPh Pasal 25,Aset Lancar Lainnya,1109
1110,Aset Lancar Lainnya,Aset Lancar Lainnya,
111001,Piutang Lain-Lain,Aset Lancar Lainnya,1110
