Kode Barang,Nama Barang,Kategori Barang,Jenis Barang,Satuan
B.00046,PAHA BAWAH SK SP,HASIL PANEN,Persediaan,KG
B.00047,KULIT SK SP,HASIL PANEN,Persediaan,KG
B.00048,SAYAP SK  SP,HASIL PANEN,Persediaan,KG
B.00049,TUNGGIR SK SP,HASIL PANEN,Persediaan,KG
B.00050,MDM SK SP,HASIL PANEN,Persediaan,KG
B.00052,PAHA UTUH JDN SP,HASIL PANEN,Persediaan,KG
B.00053,SAYAP JDN SP,HASIL PANEN,Persediaan,KG
B.00054,BLP SAMPEL NAFISA SP,HASIL PANEN,Persediaan,KG
B.00055,BLD CAHAYA FOODIES SP,HASIL PANEN,Persediaan,KG
B.00057,CUT UP CIO SP,HASIL PANEN,Persediaan,KG
B.00059,BLPK ALIM SP,HASIL PANEN,Persediaan,KG
B.00060,BLPK JDN SP,HASIL PANEN,Persediaan,KG
B.00061,BLPK POLOS SP,HASIL PANEN,Persediaan,KG
B.00062,PAHA ATAS POLOS SP,HASIL PANEN,Persediaan,KG
B.00063,PAHA BAWAH POLOS SP,HASIL PANEN,Persediaan,KG
B.00064,PAHA MANIS SP,HASIL PANEN,Persediaan,KG
B.00066,TRIMMING SP,HASIL PANEN,Persediaan,KG
B.00067,CEKER SP,HASIL PANEN,Persediaan,KG
B.00069,PARTING 12 SP,HASIL PANEN,Persediaan,KG
B.00070,CUT 28 SP,HASIL PANEN,Persediaan,KG
B.00072,KRONGKONGAN PACKING SP,HASIL PANEN,Persediaan,KG
B.00073,CEKER TANPA TULANG SP,HASIL PANEN,Persediaan,KG
B.00074,LEMAK SP,HASIL PANEN,Persediaan,KG
B.00075,RAMBATAN SP,HASIL PANEN,Persediaan,KG
B.00058,BLP POLOS SP,HASIL PANEN,Persediaan,KG
B.00056,CUT UP CIO M SP,HASIL PANEN,Persediaan,KG
B.00065,KULIT POLOS SP,HASIL PANEN,Persediaan,KG
B.00068,TUNGGIR POLOS SP,HASIL PANEN,Persediaan,KG
B.00071,TRIMMING SP,HASIL PANEN,Persediaan,KG
B.00076,TLP SP,HASIL PANEN,Persediaan,KG
B.00077,KARKAS BROILER 0.7 MY CIKEN SP,HASIL PANEN,Persediaan,KG
B.00078,KARKAS BROILER 0.8 SP,HASIL PANEN,Persediaan,KG
B.00079,KARKAS BROILER 0.9 SP,HASIL PANEN,Persediaan,KG
B.00080,KARKAS BROILER 1.4 SP,HASIL PANEN,Persediaan,KG
B.00081,KARKAS BROILER 1.5 SP,HASIL PANEN,Persediaan,KG
B.00082,KARKAS DADA SP,HASIL PANEN,Persediaan,KG
B.00083,KARKAS BROILER POLOS SP,HASIL PANEN,Persediaan,KG
B.00084,KARKAS PARENT 3 DOWN SP,HASIL PANEN,Persediaan,KG
B.00085,KARKAS BEBEK SP,HASIL PANEN,Persediaan,KG
B.00087,BLD GRED SP,HASIL PANEN,Persediaan,KG
B.00088,BLP GRADE SP,HASIL PANEN,Persediaan,KG
B.00089,PAHA BAWAH GRADE SP,HASIL PANEN,Persediaan,KG
B.00090,KULIT GRADE SP,HASIL PANEN,Persediaan,KG
B.00091,SAYAP GRADE SP,HASIL PANEN,Persediaan,KG
B.00092,TUNGGIR GRADE SP,HASIL PANEN,Persediaan,KG
B.00093,TLP GILING SP,HASIL PANEN,Persediaan,KG
B.00094,URAT SAPI SP,HASIL PANEN,Persediaan,KG
B.00095,LELE SP,HASIL PANEN,Persediaan,KG
B.00100,CEKER SK SP,HASIL PANEN,Persediaan,KG
B.00102,BLP SK 1 KG SP,HASIL PANEN,Persediaan,KG
B.00103,BLP SK 2 KG SP,HASIL PANEN,Persediaan,KG
B.00104,BLPK SK SP,HASIL PANEN,Persediaan,KG
B.00105,PAHA UTUH SK 1 KG SP,HASIL PANEN,Persediaan,KG
B.00106,PAHA BAWAH SK 1 KG SP,HASIL PANEN,Persediaan,KG
B.00107,BLDK PARENT SP,HASIL PANEN,Persediaan,KG
B.00108,BLPK PARENT SP,HASIL PANEN,Persediaan,KG
B.00109,KULIT SK 1 KG SP,HASIL PANEN,Persediaan,KG
B.00110,KULIT SK 2 KG SP,HASIL PANEN,Persediaan,KG
B.00111,KULIT DADA SK SP,HASIL PANEN,Persediaan,KG
B.00112,SAYAP SK 1 KG SP,HASIL PANEN,Persediaan,KG
B.00113,KEPALA SK SP,HASIL PANEN,Persediaan,KG
B.00114,CEKER SK SP,HASIL PANEN,Persediaan,KG
B.00115,BLD CF SP,HASIL PANEN,Persediaan,KG
B.00116,BLD ALIM SP,HASIL PANEN,Persediaan,KG
B.00117,BLPK SP,HASIL PANEN,Persediaan,KG
B.00118,PAHA TEMPONG SP,HASIL PANEN,Persediaan,KG
B.00119,PAHA UTUH CIO SP,HASIL PANEN,Persediaan,KG
B.00120,PAHA BAWAH CIO SP,HASIL PANEN,Persediaan,KG
B.00121,PAHA ATAS SP,HASIL PANEN,Persediaan,KG
B.00122,PAHA POLOS SP,HASIL PANEN,Persediaan,KG
B.00123,KULIT CF SP,HASIL PANEN,Persediaan,KG
B.00124,KULIT CIO SP,HASIL PANEN,Persediaan,KG
B.00125,MIDDLE WING CIO SP,HASIL PANEN,Persediaan,KG
B.00126,WING STIK BC  SP,HASIL PANEN,Persediaan,KG
B.00127,WING STIK POLOS SP,HASIL PANEN,Persediaan,KG
B.00128,SAYAP POLOS SP,HASIL PANEN,Persediaan,KG
B.00129,MARINASI SP,HASIL PANEN,Persediaan,KG
B.00130,PARTING JP SP,HASIL PANEN,Persediaan,KG
B.00131,PARTING CF SP,HASIL PANEN,Persediaan,KG
B.00132,TRIMMING DADA SP,HASIL PANEN,Persediaan,KG
B.00133,TRIMMING PAHA SP,HASIL PANEN,Persediaan,KG
B.00134,CEKER BEKU YAMIKU SP,HASIL PANEN,Persediaan,KG
B.00135,CEKER BEKU YAMIKU 5 KG SP,HASIL PANEN,Persediaan,KG
B.00136,CEKER BEKU IBRAHIM SP,HASIL PANEN,Persediaan,KG
B.00137,CEKER CIO SP,HASIL PANEN,Persediaan,KG
B.00138,CEKER BEKU POLOS SP,HASIL PANEN,Persediaan,KG
B.00139,MDM POLOS SP,HASIL PANEN,Persediaan,KG
B.00140,KEPALA SP,HASIL PANEN,Persediaan,KG
B.00141,HATI BERSIH YAMIKU SP,HASIL PANEN,Persediaan,KG
B.00142,HATI CIO SP,HASIL PANEN,Persediaan,KG
B.00143,HATI BERSIH 1 KG SP,HASIL PANEN,Persediaan,KG
B.00144,AMPELA SP,HASIL PANEN,Persediaan,KG
B.00145,LEMAK CIO SP,HASIL PANEN,Persediaan,KG
B.00146,KKG KARUNG PUTIH SP,HASIL PANEN,Persediaan,KG
B.00147,KRONGKONGAN SP,HASIL PANEN,Persediaan,KG
B.00148,KRONGKONGAN PARENT SP,HASIL PANEN,Persediaan,KG
B.00149,TLP  SP,HASIL PANEN,Persediaan,KG
B.00150,KARKAS BROILER 0.8 SK SP,HASIL PANEN,Persediaan,KG
B.00151,KARKAS BROILER 1.3 SP,HASIL PANEN,Persediaan,KG
B.00152,KARKAS BELI GUDANG 46 SP,HASIL PANEN,Persediaan,KG
B.00153,KARKAS BROILER 1.6 UP POLOS SP,HASIL PANEN,Persediaan,KG
B.00154,KARKAS CUT UP CIO SP,HASIL PANEN,Persediaan,KG
B.00155,KARKAS CIO SP,HASIL PANEN,Persediaan,KG
B.00156,KARKAS BROILER  1.0  CIO SP,HASIL PANEN,Persediaan,KG
B.00157,KARKAS BROILER  1.1 CIO SP,HASIL PANEN,Persediaan,KG
B.00158,KARKAS BROILER  1.2 CIO SP,HASIL PANEN,Persediaan,KG
B.00159,KARKAS BROILER  1.2 YAMIKU SP,HASIL PANEN,Persediaan,KG
B.00160,KARKAS PARENT 4 UP ANEKA USAHA SP,HASIL PANEN,Persediaan,KG
B.00161,KARKAS PARENT POLOS SP,HASIL PANEN,Persediaan,KG
B.00162,LAYUR PP SH 1/2 BOX PUTIH SP,HASIL PANEN,Persediaan,KG
B.00163,LAYUR PP SK 1/2 BOX COKLAT SP,HASIL PANEN,Persediaan,KG
B.00164,LAYUR PP SK 1/2 BOX COKLAT SP,HASIL PANEN,Persediaan,KG
B.00165,LAYUR PP SH 1/2 BOX COKLAT SP,HASIL PANEN,Persediaan,KG
B.00166,PAHA UTUH GRADE SP,HASIL PANEN,Persediaan,KG
B.00167,PAHA BAWAH R SP,HASIL PANEN,Persediaan,KG
B.00168,KULIT R SP,HASIL PANEN,Persediaan,KG
B.00169,EDAMAME SP,HASIL PANEN,Persediaan,KG
B.00170,ROLADE SAPI SP,HASIL PANEN,Persediaan,KG
B.00171,KULIT 250 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00172,TUNGGIR 300 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00173,KEPALA 400 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00174,CEKER 400 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00175,HATI 300 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00176,AMPELA 300 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00177,JANTUNG 300 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00178,USUS 250 GRAM SP,HASIL PANEN,Persediaan,Pack
B.00045,BLD SK SP,HASIL PANEN,Persediaan,KG
B.00051,BLD JDN SP,HASIL PANEN,Persediaan,KG
B.00086,KARKAS KAMBING SP,HASIL PANEN,Persediaan,KG
B.00096,SOSIS AYAM SP,HASIL PANEN,Persediaan,KG
B.00097,CHICKEN NUGGET SP,HASIL PANEN,Persediaan,KG
B.00098,ROLADE AYAM SP,HASIL PANEN,Persediaan,KG
B.00099,PENTOL SP,HASIL PANEN,Persediaan,KG
B.00182,MIX VEGETABLES KK SP,HASIL PANEN,Persediaan,Pack
B.00184,SAYAP CIO SP,HASIL PANEN,Persediaan,KG
B.00183,SAYAP POLOS PREMIUM SP,HASIL PANEN,Persediaan,KG
B.00181,HOME CORN KERNEL SP,HASIL PANEN,Persediaan,Pack
B.00001,Ayam Broiler - Ekor,LIVE BIRD,Persediaan,Ekor
B.00002,Ayam Parent - Ekor,LIVE BIRD,Persediaan,Ekor
B.00179,Ayam Broiler,LIVE BIRD,Persediaan,KG
B.00180,Ayam Parent,LIVE BIRD,Persediaan,KG
